t,x,y,z,vx,vy,vz,energy,h_mag
36979.5452391,2081413.84761,-9703801.92904,0,5770.49960825,5546.0199676,0,-8134702.88993,67539347989.7
37038.4991774,2420011.5939,-9369871.03444,0,5714.23972906,5784.12876354,0,-8134702.89006,67539347989.6
37096.8045253,2751240.68642,-9025528.84878,0,5645.29462382,6029.1266352,0,-8134702.89022,67539347989.4
37154.4541454,3074376.05645,-8670748.11561,0,5562.44741266,6280.54838226,0,-8134702.89042,67539347989.3
37211.2598093,3387660.15953,-8306735.07868,0,5464.77699583,6536.92878795,0,-8134702.89068,67539347989.1
37267.112286,3689799.7983,-7934406.73674,0,5351.40298392,6796.88369916,0,-8134702.89098,67539347988.8
37321.8622788,3979327.31914,-7555142.37707,0,5221.73061237,7058.58742064,0,-8134702.89133,67539347988.6
37375.3918353,4255017.65579,-7170322.08021,0,5075.38244835,7320.11560774,0,-8134702.89172,67539347988.3
37427.5916794,4515786.38089,-6781461.70891,0,4912.28780815,7579.37896679,0,-8134702.89215,67539347988
37478.3820267,4760812.07566,-6390036.93655,0,4732.65216656,7834.27811112,0,-8134702.89258,67539347987.7
37527.7069337,4989512.53179,-5997484.35771,0,4536.97128081,8082.74023612,0,-8134702.89301,67539347987.4
37575.5361625,5201552.73421,-5605145.12343,0,4326.00586816,8322.79503897,0,-8134702.89342,67539347987.1
37621.8591907,5396810.76273,-5214271.19483,0,4100.77181672,8552.60887504,0,-8134702.89379,67539347986.8
37666.6808075,5575350.27936,-4826025.67253,0,3862.51951692,8770.5215255,0,-8134702.8941,67539347986.5
37710.0156005,5737388.76641,-4441499.41885,0,3612.71602187,8975.07105954,0,-8134702.89435,67539347986.3
37751.8840477,5883273.94811,-4061720.8981,0,3353.01866635,9165.0197616,0,-8134702.89454,67539347986.1
37792.3096707,6013465.23749,-3687661.88306,0,3085.24132156,9339.37737169,0,-8134702.89465,67539347986
37831.3176003,6128520.23412,-3320234.20649,0,2811.31000781,9497.42158129,0,-8134702.89471,67539347985.9
37868.9338758,6229082.60931,-2960282.49215,0,2533.21174514,9638.71076585,0,-8134702.89471,67539347985.8
37905.1849125,6315869.28365,-2608577.81663,0,2252.94226502,9763.08565008,0,-8134702.89467,67539347985.7
37940.0964618,6389655.81589,-2265819.02208,0,1972.46081622,9870.65822717,0,-8134702.8946,67539347985.7
37973.6916462,6451260.87647,-1932646.24971,0,1693.65916354,9961.78966957,0,-8134702.89451,67539347985.6
38005.9877882,6501531.7197,-1609669.76129,0,1418.35014359,10037.061336,0,-8134702.89441,67539347985.6
38036.9917519,6541332.92749,-1297516.75723,0,1148.27971784,10097.2441767,0,-8134702.89431,67539347985.6
38066.6931624,6571540.53039,-996902.097098,0,885.167954443,10143.2718686,0,-8134702.89422,67539347985.6
38095.0539029,6593043.62804,-708738.374953,0,630.791724987,10176.2229205,0,-8134702.89414,67539347985.6
38121.9897524,6606756.72469,-434326.534258,0,387.143997916,10197.3182731,0,-8134702.89408,67539347985.6
38147.3321075,6613650.445,-175748.813604,0,156.775713274,10207.9472451,0,-8134702.89403,67539347985.6
38164.5465798,6615000.00068,-0.488346161641,0,0.00043381673791,10210.0299287,0,-8134702.89402,67539347985.6
