t,x,y,z,vx,vy,vz,energy,h_mag
5264.88066263,6419935.38838,-2173870.66501,0,2459.51934485,7263.52102427,0,-29403986.5422,51978012621.7
5305.87278472,6513816.86647,-1873892.70992,0,2120.12400021,7369.73861835,0,-29403986.5421,51978012621.8
5345.99050034,6592133.52604,-1576407.19115,0,1783.54860038,7458.34616188,0,-29403986.542,51978012622
5385.1245247,6655447.64238,-1283082.51345,0,1451.68078012,7529.97981366,0,-29403986.5418,51978012622.1
5423.14951137,6704472.59064,-995656.23457,0,1126.48641389,7585.44668703,0,-29403986.5417,51978012622.1
5459.91103906,6740073.82682,-716022.949762,0,810.1090486,7625.72595972,0,-29403986.5417,51978012622.2
5495.20254652,6763284.02126,-446400.384212,0,505.057820625,7651.98599592,0,-29403986.5416,51978012622.3
5528.7170039,6775345.17312,-189688.797565,0,214.614086503,7665.63199471,0,-29403986.5416,51978012622.3
5553.45589696,6778000.00404,-0.00959083682392,0,1.0766970604e-05,7668.63567296,0,-29403986.5415,51978012622.3
5553.45589696,6778000.00404,-0.00959083682392,0,1.0766970604e-05,10066.1442429,0,-8144343.12423,68228325719.2
5578.17973051,6775348.77951,248841.218911,0,-214.422821478,10062.2079691,0,-8144343.12419,68228325719.2
5601.76954187,6767881.83673,486090.191235,0,-418.523513052,10051.1337499,0,-8144343.12417,68228325719.2
5626.49503791,6754898.8123,734387.874958,0,-631.434205884,10031.9205332,0,-8144343.12413,68228325719.2
5651.24291561,6736650.67708,982339.28047,0,-842.988471343,10005.0051965,0,-8144343.1241,68228325719.2
5676.70386953,6712438.73419,1236640.38265,0,-1058.49362356,9969.4540851,0,-8144343.12406,68228325719.2
5702.67619836,6682121.82463,1495012.7691,0,-1275.5492356,9925.19517976,0,-8144343.12401,68228325719.2
5729.38280164,6645113.8386,1759382.68927,0,-1495.26731957,9871.55071751,0,-8144343.12396,68228325719.3
5756.81330306,6601050.22511,2029314.31251,0,-1716.72092145,9808.22099133,0,-8144343.1239,68228325719.3
5785.05981359,6549396.46337,2305343.52611,0,-1939.74095819,9734.72240009,0,-8144343.12383,68228325719.3
5814.15135307,6489695.65825,2587339.86271,0,-2163.56533037,9650.75254567,0,-8144343.12376,68228325719.3
5844.14101765,6421434.75719,2875361.94514,0,-2387.54673336,9556.00531974,0,-8144343.12368,68228325719.4
5875.06385366,6344132.09916,3169246.40376,0,-2610.83262917,9450.30035023,0,-8144343.12358,68228325719.4
5906.95968511,6257297.74091,3468829.17382,0,-2832.55297764,9333.53113955,0,-8144343.12348,68228325719.5
5939.86234034,6160466.11258,3773843.61249,0,-3051.75622153,9205.71170423,0,-8144343.12337,68228325719.5
5973.80578343,6053187.68064,4083980.78792,0,-3267.47115303,9066.96425111,0,-8144343.12325,68228325719.6
6008.82167038,5935042.28135,4398869.5133,0,-3478.7093493,8917.53330617,0,-8144343.12312,68228325719.7
6044.94152743,5805638.2136,4718099.89454,0,-3684.49897949,8757.77814646,0,-8144343.12297,68228325719.8
6082.1968746,5664616.11635,5041228.02097,0,-3883.90387435,8588.16902657,0,-8144343.12282,68228325720
6120.62059884,5511647.06331,5367791.61513,0,-4076.0476801,8409.27414756,0,-8144343.12265,68228325720.1
6160.24762934,5346431.47957,5697318.85511,0,-4260.13054387,8221.74637709,0,-8144343.12247,68228325720.3
6201.11555431,5168697.07916,6029336.10338,0,-4435.44208406,8026.30798309,0,-8144343.12228,68228325720.5
6243.26446916,4978199.27795,6363368.86871,0,-4601.36779254,7823.73765724,0,-8144343.12207,68228325720.7
6286.73606745,4774725.01331,6698937.05272,0,-4757.39066304,7614.86054854,0,-8144343.12185,68228325720.9
6331.57168946,4558102.15001,7035543.47249,0,-4903.08891094,7400.54290767,0,-8144343.12162,68228325721.1
6377.80931021,4328215.395,7372657.16682,0,-5038.13197135,7181.69108943,0,-8144343.12137,68228325721.4
6425.47950333,4085029.05606,7709693.48031,0,-5162.27675123,6959.2538802,0,-8144343.12111,68228325721.6
6474.6006951,3828615.14947,8045994.71465,0,-5275.36610086,6734.22554891,0,-8144343.12084,68228325721.9
6525.17429354,3559183.34168,8380816.23256,0,-5377.33071667,6507.64597957,0,-8144343.12057,68228325722.2
6577.18051098,3277107.33137,8713323.11527,0,-5468.19444978,6280.59399438,0,-8144343.12029,68228325722.4
6630.57560824,2982942.30658,9042600.21096,0,-5548.08127548,6054.17167163,0,-8144343.12002,68228325722.7
6685.29070745,2677431.31555,9367673.52793,0,-5617.2207596,5829.48119793,0,-8144343.11975,68228325723
6741.23132089,2361504.57423,9687535.0189,0,-5675.9487157,5607.60030656,0,-8144343.1195,68228325723.2
6798.27571426,2036282.54778,10001158.8839,0,-5724.70137015,5389.56529866,0,-8144343.11927,68228325723.4
6856.26946193,1703098.91075,10307496.9772,0,-5764.00402961,5176.37088274,0,-8144343.11907,68228325723.6
6915.01281462,1363564.16852,10605441.5756,0,-5794.45764025,4968.99516288,0,-8144343.11889,68228325723.8
6974.23577781,1019700.52467,10893740.3473,0,-5816.72800915,4768.45995817,0,-8144343.11873,68228325724
7033.55080708,674206.989586,11170831.7139,0,-5831.54338274,4575.94775914,0,-8144343.11861,68228325724.1
7092.35770897,331002.056616,11434512.6997,0,-5839.70859154,4393.03515671,0,-8144343.11852,68228325724.2
7149.61669022,-3468.04707434,11681130.3125,0,-5842.15455844,4222.25493062,0,-8144343.11845,68228325724.3
7203.04821479,-315585.96592,11902615.0507,0,-5840.10240297,4069.14493595,0,-8144343.11842,68228325724.3
7257.78209078,-635091.301361,12121180.0388,0,-5834.15218981,3918.30802411,0,-8144343.11839,68228325724.3
7317.42206348,-982748.755332,12350130.5661,0,-5823.74588938,3760.57092252,0,-8144343.11834,68228325724.4
7379.82058055,-1345701.29093,12579818.9514,0,-5809.01243293,3602.58179198,0,-8144343.1183,68228325724.4
7446.06671381,-1729903.596,12813126.6602,0,-5789.62710221,3442.33035007,0,-8144343.11824,68228325724.5
7515.5521334,-2131387.34166,13046705.389,0,-5765.72237971,3282.0667466,0,-8144343.11818,68228325724.6
7588.47075486,-2550798.10757,13280144.1414,0,-5737.27997377,3121.99514447,0,-8144343.11811,68228325724.7
7664.55612056,-2986092.6882,13511592.289,0,-5704.50578648,2963.28064669,0,-8144343.11804,68228325724.8
7743.76662793,-3436504.14597,13740050.2372,0,-5667.5778831,2806.47969646,0,-8144343.11798,68228325724.9
7825.95331396,-3900642.14033,13964311.3784,0,-5626.76357404,2652.26916576,0,-8144343.11791,68228325724.9
7911.04303581,-4377545.37784,14183501.0227,0,-5582.32542546,2501.08033408,0,-8144343.11785,68228325725
7998.9479192,-4866171.57968,14396802.2565,0,-5534.551459,2353.29088197,0,-8144343.11779,68228325725.1
8089.61168387,-5365661.108,14603565.2296,0,-5483.72203688,2209.15307597,0,-8144343.11773,68228325725.2
8182.98324297,-5875190.6905,14803225.4679,0,-5430.11608849,2068.85319807,0,-8144343.11768,68228325725.3
8279.0265786,-6394029.00075,14995315.2756,0,-5374.00015743,1932.5062374,0,-8144343.11763,68228325725.4
8377.71151905,-6921486.48136,15179433.0024,0,-5315.62967166,1800.17959649,0,-8144343.11759,68228325725.5
8479.01411049,-7456917.92967,15355236.269,0,-5255.24609765,1671.89982154,0,-8144343.11756,68228325725.6
8582.91202847,-7999698.5949,15522427.5922,0,-5193.07792764,1547.66460757,0,-8144343.11752,68228325725.6
8689.38249763,-8549214.37812,15680747.3316,0,-5129.34087206,1427.44957921,0,-8144343.11749,68228325725.7
8798.3988714,-9104845.71856,15829966.5223,0,-5064.23929065,1311.2152666,0,-8144343.11747,68228325725.8
8909.92775358,-9665955.28969,15969882.7539,0,-4997.96756354,1198.91205002,0,-8144343.11745,68228325725.8
9023.92557734,-10231874.0056,16100317.2465,0,-4930.71190867,1090.48452403,0,-8144343.11743,68228325725.9
9140.3350305,-10801887.5463,16221113.6967,0,-4862.6523033,985.87493229,0,-8144343.11741,68228325725.9
9259.08090883,-11375221.5096,16332138.3897,0,-4793.96466923,885.026166613,0,-8144343.1174,68228325726
9380.06531689,-11951025.1004,16433281.6606,0,-4724.82329079,787.884397289,0,-8144343.11739,68228325726
9503.16184797,-12528351.948,16524460.6008,0,-4655.40360557,694.401607724,0,-8144343.11738,68228325726.1
9628.20834169,-13106136.663,16605623.0955,0,-4585.88551614,604.538234081,0,-8144343.11737,68228325726.1
9754.99753508,-13683164.654,16676753.323,0,-4516.4575091,518.266221761,0,-8144343.11736,68228325726.1
9883.26454358,-14258031.3492,16737878.9985,0,-4447.32203647,435.57292276,0,-8144343.11736,68228325726.2
10012.6693505,-14829084.1376,16789080.8505,0,-4378.70295507,356.466532785,0,-8144343.11735,68228325726.2
10142.7710147,-15394334.8273,16830505.1874,0,-4310.85647767,280.984312214,0,-8144343.11735,68228325726.2
10272.9871221,-15951318.3554,16862381.1074,0,-4244.08852526,209.206058458,0,-8144343.11735,68228325726.2
10402.5243834,-16496844.3991,16885045.418,0,-4178.78482637,141.278283445,0,-8144343.11734,68228325726.2
10530.2450231,-17026506.9152,16898982.0787,0,-4115.46981119,77.463032511,0,-8144343.11734,68228325726.2
10654.3600314,-17533532.3005,16904894.4626,0,-4054.94414726,18.2551427306,0,-8144343.11734,68228325726.3
10771.4752462,-18005127.256,16903878.206,0,-3998.71956557,-35.2375854256,0,-8144343.11734,68228325726.3
10879.3765385,-18433833.4924,16897504.7147,0,-3947.66555099,-82.5996647498,0,-8144343.11734,68228325726.3
11003.1870774,-18919013.6285,16884023.3382,0,-3889.94757369,-134.804073701,0,-8144343.11734,68228325726.3
